Beverage_category,Beverage,Beverage_prep,Calories,Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Caffeine (mg)
Coffee,Brewed Coffee,Short,3.00,0.10,0.00,0.00,0,5,0,0,0,0.3,0.00,0.00,0.00,0.00,175
Coffee,Brewed Coffee,Tall,4.00,0.10,0.00,0.00,0,10,0,0,0,0.5,0.00,0.00,0.00,0.00,260
Coffee,Brewed Coffee,Grande,5.00,0.10,0.00,0.00,0,10,0,0,0,1,0.00,0.00,0.00,0.00,330
Coffee,Brewed Coffee,Venti,5.00,0.10,0.00,0.00,0,10,0,0,0,1,0.00,0.00,0.02,0.00,410
Classic Espresso Drinks,Caffè Latte,Short Nonfat Milk,70.00,0.10,0.10,0.00,5,75,10,0,9,6,0.10,0.00,0.20,0.00,75
Classic Espresso Drinks,Caffè Latte,2% Milk,100.00,3.50,2.00,0.10,15,85,10,0,9,6,0.10,0.00,0.20,0.00,75
Classic Espresso Drinks,Caffè Latte,Soymilk,70.00,2.50,0.40,0.00,0,65,6,1,4,5,0.06,0.00,0.20,0.08,75
Classic Espresso Drinks,Caffè Latte,Tall Nonfat Milk,100.00,0.20,0.20,0.00,5,120,15,0,14,10,0.15,0.00,0.30,0.00,75
Classic Espresso Drinks,Caffè Latte,2% Milk,150.00,6.00,3.00,0.20,25,135,15,0,14,10,0.15,0.00,0.30,0.00,75
Classic Espresso Drinks,Caffè Latte,Soymilk,110.00,4.50,0.50,0.00,0,105,10,1,6,8,0.10,0.00,0.30,0.15,75
Classic Espresso Drinks,Caffè Latte,Grande Nonfat Milk,130.00,0.30,0.20,0.00,5,150,19,0,18,13,0.20,0.00,0.40,0.00,150
Classic Espresso Drinks,Caffè Latte,2% Milk,190.00,7.00,3.50,0.20,30,170,19,0,17,12,0.20,0.02,0.40,0.00,150
Classic Espresso Drinks,Caffè Latte,Soymilk,150.00,5.00,0.50,0.00,0,130,13,1,8,10,0.15,0.00,0.40,0.15,150
Classic Espresso Drinks,Caffè Latte,Venti Nonfat Milk,170.00,0.40,0.30,0.00,10,190,25,0,23,16,0.30,0.00,0.50,0.00,150
Classic Espresso Drinks,Caffè Latte,2% Milk,240.00,9.00,4.50,0.30,35,220,24,0,22,16,0.25,0.02,0.50,0.00,150
Classic Espresso Drinks,Caffè Latte,Soymilk,190.00,7.00,1.00,0.00,0,170,16,2,11,13,0.20,0.00,0.50,0.25,150
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Short Nonfat Milk,110.00,1.50,1.00,0.00,5,60,21,1,17,7,0.08,0.00,0.15,0.10,85
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,130.00,4.00,2.00,0.10,10,70,21,1,17,6,0.08,0.00,0.15,0.10,85
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,110.00,3.50,1.00,0.00,0,55,19,2,13,6,0.06,0.00,0.15,0.20,85
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Tall Nonfat Milk,170.00,2.00,1.00,0.00,5,100,32,1,27,10,0.15,0.00,0.25,0.20,95
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,200.00,6.00,3.50,0.10,20,115,32,1,26,10,0.15,0.00,0.25,0.20,95
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,180.00,5.00,1.50,0.00,0,85,28,2,20,9,0.10,0.00,0.25,0.30,95
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Grande Nonfat Milk,220.00,2.50,1.50,0.00,5,125,43,2,34,13,0.20,0.00,0.35,0.25,175
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,260.00,8.00,4.50,0.20,25,140,42,2,34,13,0.15,0.02,0.35,0.25,175
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,230.00,7.00,2.00,0.00,0,105,37,3,26,11,0.10,0.00,0.35,0.40,175
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Venti Nonfat Milk,280.00,3.00,2.00,0.00,10,160,54,2,44,17,0.25,0.00,0.45,0.30,180
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,340.00,11.00,6.00,0.20,30,180,53,2,43,17,0.20,0.02,0.45,0.30,180
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,290.00,9.00,2.50,0.00,0,140,47,4,33,14,0.15,0.00,0.45,0.50,180
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Short Nonfat Milk,100.00,0.10,0.10,0.00,5,70,19,0,18,6,0.10,0.00,0.20,0.00,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,130.00,3.50,1.50,0.10,15,80,18,0,17,6,0.10,0.00,0.20,0.00,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,110.00,2.50,0.30,0.00,0,60,16,1,13,5,0.06,0.00,0.20,0.08,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Tall Nonfat Milk,150.00,0.20,0.10,0.00,5,110,28,0,27,9,0.15,0.00,0.30,0.00,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,200.00,5.00,2.50,0.20,20,125,28,0,27,9,0.15,0.00,0.30,0.00,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,160.00,4.00,0.50,0.00,0,95,23,1,20,7,0.10,0.00,0.30,0.15,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Grande Nonfat Milk,200.00,0.30,0.20,0.00,5,140,37,0,35,12,0.20,0.00,0.35,0.00,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,250.00,6.00,3.50,0.20,25,150,37,0,35,12,0.20,0.02,0.35,0.00,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,210.00,5.00,0.50,0.00,0,120,31,1,26,9,0.10,0.00,0.35,0.15,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Venti Nonfat Milk,250.00,0.30,0.20,0.00,10,180,47,0,45,15,0.25,0.00,0.50,0.00,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,320.00,9.00,4.50,0.30,35,200,46,0,44,15,0.25,0.02,0.45,0.00,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,270.00,7.00,1.00,0.00,0,160,39,2,33,12,0.15,0.00,0.45,0.20,150
Classic Espresso Drinks,Caffè Americano,Short,5.00,0.00,0.00,0.00,0,5,1,0,0,0.4,0.00,0.00,0.00,0.00,75
Classic Espresso Drinks,Caffè Americano,Tall,10.00,0.00,0.00,0.00,0,10,2,0,0,1,0.00,0.00,0.02,0.00,150
Classic Espresso Drinks,Caffè Americano,Grande,15.00,0.00,0.00,0.00,0,15,3,0,0,1,0.00,0.00,0.02,0.00,225
Classic Espresso Drinks,Caffè Americano,Venti,25.00,0.00,0.00,0.00,0,15,4,0,0,1,0.00,0.00,0.02,0.00,300
Classic Espresso Drinks,Cappuccino,Short Nonfat Milk,50.00,0.10,0.10,0.00,5,60,8,0,7,5,0.08,0.00,0.15,0.00,75
Classic Espresso Drinks,Cappuccino,2% Milk,80.00,3.00,1.50,0.10,10,70,8,0,7,5,0.08,0.00,0.15,0.00,75
Classic Espresso Drinks,Cappuccino,Soymilk,50.00,1.50,0.20,0.00,0,40,4,0,3,3,0.04,0.00,0.10,0.06,75
Classic Espresso Drinks,Cappuccino,Tall Nonfat Milk,60.00,0.10,0.10,0.00,5,70,9,0,8,6,0.10,0.00,0.20,0.00,75
Classic Espresso Drinks,Cappuccino,2% Milk,90.00,3.50,1.50,0.10,15,80,9,0,8,6,0.10,0.00,0.20,0.00,75
Classic Espresso Drinks,Cappuccino,Soymilk,70.00,3.00,0.40,0.00,0,65,7,1,4,5,0.06,0.00,0.20,0.08,75
Classic Espresso Drinks,Cappuccino,Grande Nonfat Milk,80.00,0.20,0.10,0.00,5,90,12,0,10,8,0.15,0.00,0.25,0.00,150
Classic Espresso Drinks,Cappuccino,2% Milk,120.00,4.00,2.00,0.10,15,100,12,0,10,8,0.10,0.00,0.25,0.00,150
Classic Espresso Drinks,Cappuccino,Soymilk,100.00,3.50,0.40,0.00,0,80,9,1,5,7,0.08,0.00,0.25,0.10,150
Classic Espresso Drinks,Cappuccino,Venti Nonfat Milk,110.00,0.20,0.20,0.00,5,120,16,0,14,10,0.20,0.00,0.30,0.00,150
Classic Espresso Drinks,Cappuccino,2% Milk,150.00,6.00,3.00,0.20,25,135,16,0,14,10,0.15,0.00,0.30,0.00,150
Classic Espresso Drinks,Cappuccino,Soymilk,120.00,4.50,0.50,0.00,0,110,11,1,7,9,0.10,0.00,0.35,0.15,150
Classic Espresso Drinks,Espresso,Solo,5.00,0.00,0.00,0.00,0,0,1,0,0,0.4,0.00,0.00,0.00,0.00,75
Classic Espresso Drinks,Espresso,Doppio,10.00,0.00,0.00,0.00,0,1,2,0,0,1,0.00,0.00,0.00,0.00,150
Classic Espresso Drinks,Skinny Latte (Any Flavour),Short Nonfat Milk,60.00,0.10,0.10,0.00,5,80,9,0,8,6,0.10,0.00,0.20,0.00,75
Classic Espresso Drinks,Skinny Latte (Any Flavour),Tall Nonfat Milk,100.00,0.20,0.10,0.00,5,125,14,0,13,9,0.15,0.00,0.30,0.00,75
Classic Espresso Drinks,Skinny Latte (Any Flavour),Grande Nonfat Milk,120.00,0.30,0.20,0.00,5,160,18,0,16,12,0.20,0.00,0.35,0.00,150
Classic Espresso Drinks,Skinny Latte (Any Flavour),Venti Nonfat Milk,160.00,0.30,0.20,0.00,10,200,24,0,21,15,0.25,0.00,0.50,0.00,150
Signature Espresso Drinks,Caramel Macchiato,Short Nonfat Milk,100.00,1.00,0.50,0.00,5,70,17,0,15,6,0.10,0.00,0.15,0.00,75
Signature Espresso Drinks,Caramel Macchiato,2% Milk,120.00,4.00,2.00,0.10,15,80,16,0,15,5,0.10,0.00,0.15,0.00,75
Signature Espresso Drinks,Caramel Macchiato,Soymilk,100.00,3.00,1.00,0.00,0,60,14,1,11,4,0.06,0.00,0.15,0.08,75
Signature Espresso Drinks,Caramel Macchiato,Tall Nonfat Milk,140.00,1.00,0.50,0.00,5,105,25,0,24,8,0.15,0.00,0.25,0.00,75
Signature Espresso Drinks,Caramel Macchiato,2% Milk,180.00,5.00,3.00,0.10,20,115,25,0,23,8,0.15,0.00,0.25,0.00,75
Signature Espresso Drinks,Caramel Macchiato,Soymilk,150.00,4.50,1.00,0.00,0,90,21,1,17,7,0.10,0.00,0.25,0.10,75
Signature Espresso Drinks,Caramel Macchiato,Grande Nonfat Milk,190.00,1.00,1.00,0.00,10,130,35,0,32,11,0.20,0.00,0.35,0.00,150
Signature Espresso Drinks,Caramel Macchiato,2% Milk,240.00,7.00,3.50,0.20,25,150,34,0,32,10,0.15,0.02,0.30,0.00,150
Signature Espresso Drinks,Caramel Macchiato,Soymilk,200.00,5.00,1.00,0.00,5,115,29,1,24,9,0.10,0.00,0.35,0.15,150
Signature Espresso Drinks,Caramel Macchiato,Venti Nonfat Milk,240.00,1.00,1.00,0.00,10,170,43,0,41,13,0.25,0.00,0.40,0.00,150
Signature Espresso Drinks,Caramel Macchiato,2% Milk,300.00,8.00,4.50,0.20,35,180,43,0,40,13,0.20,0.02,0.40,0.00,150
Signature Espresso Drinks,Caramel Macchiato,Soymilk,250.00,7.00,1.50,0.00,5,140,36,1,31,11,0.15,0.00,0.40,0.20,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Short Nonfat Milk,180.00,3.00,2.00,0.00,5,120,31,0,29,7,0.10,0.00,0.25,0.00,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,200.00,6.00,3.50,0.10,15,125,31,0,29,7,0.08,0.02,0.25,0.00,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,180.00,5.00,2.50,0.00,0,110,28,1,25,6,0.06,0.00,0.25,0.08,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Tall Nonfat Milk,270.00,4.50,3.50,0.00,5,190,47,0,45,12,0.15,0.02,0.35,0.00,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,310.00,9.00,6.00,0.10,20,200,46,0,44,11,0.15,0.02,0.35,0.00,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,280.00,8.00,3.50,0.00,0,170,42,1,39,10,0.10,0.02,0.35,0.10,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Grande Nonfat Milk,350.00,6.00,4.50,0.00,10,240,61,0,58,15,0.20,0.02,0.45,0.02,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,400.00,11.00,7.00,0.20,25,250,61,0,58,15,0.15,0.02,0.45,0.00,150
